,player_id,last_name,first_name,season_id,conference,league_id,games_played,minutes,points,o_rebounds,d_rebounds,rebounds,assists,steals,blocks,turnovers,personal_fouls,fg_attempted,fg_made,ft_attempted,ft_made,three_attempted,three_made
687,iversal01,Iverson,Allen,2005,East,NBA,1,26,12.0,0.0,2.0,2.0,2.0,0.0,0.0,3.0,0.0,14.0,5.0,4.0,2.0,0.0,0.0
688,iversal01,Iverson,Allen,2004,East,NBA,1,32,15.0,0.0,4.0,4.0,9.0,5.0,0.0,7.0,0.0,13.0,4.0,7.0,7.0,0.0,0.0
689,iversal01,Iverson,Allen,2007,West,NBA,1,20,7.0,1.0,1.0,2.0,6.0,4.0,1.0,6.0,0.0,7.0,3.0,2.0,1.0,0.0,0.0
692,jabalwa01,Jabali,Warren,1972,West,ABA,1,31,16.0,2.0,2.0,4.0,7.0,3.0,0.0,1.0,2.0,12.0,7.0,3.0,1.0,1.0,1.0
693,jabalwa01,Jabali,Warren,1973,West,ABA,1,24,6.0,1.0,1.0,2.0,3.0,1.0,0.0,4.0,2.0,15.0,3.0,1.0,0.0,5.0,0.0
698,jamesle01,James,LeBron,2008,East,NBA,1,27,20.0,0.0,5.0,5.0,3.0,0.0,0.0,3.0,0.0,19.0,8.0,2.0,2.0,5.0,2.0
699,jamesle01,James,LeBron,2009,East,NBA,1,32,25.0,1.0,4.0,5.0,6.0,4.0,0.0,2.0,1.0,22.0,10.0,4.0,4.0,6.0,1.0
700,jamesle01,James,LeBron,2007,East,NBA,1,30,27.0,1.0,7.0,8.0,9.0,2.0,2.0,4.0,3.0,22.0,12.0,1.0,1.0,7.0,2.0
701,jamesle01,James,LeBron,2005,East,NBA,1,31,29.0,2.0,4.0,6.0,2.0,2.0,0.0,1.0,2.0,21.0,12.0,5.0,1.0,10.0,4.0
702,jamesle01,James,LeBron,2004,East,NBA,1,31,13.0,1.0,7.0,8.0,6.0,2.0,0.0,3.0,0.0,13.0,6.0,1.0,0.0,4.0,1.0
703,jamesle01,James,LeBron,2006,East,NBA,1,32,28.0,0.0,6.0,6.0,6.0,4.0,0.0,1.0,0.0,20.0,11.0,2.0,2.0,8.0,4.0
704,jamisan01,Jamison,Antawn,2004,East,NBA,1,13,5.0,1.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,1.0,1.0
705,jamisan01,Jamison,Antawn,2007,East,NBA,1,12,2.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,3.0,1.0,0.0,0.0,2.0,0.0
706,johnsde01,Johnson,Dennis,1981,West,NBA,1,15,1.0,2.0,3.0,5.0,1.0,1.0,2.0,3.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0
720,johnsjo02,Johnson,Joe,2009,East,NBA,1,18,10.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,8.0,4.0,0.0,0.0,5.0,2.0
721,johnsjo02,Johnson,Joe,2008,East,NBA,1,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0
722,johnsjo02,Johnson,Joe,2007,East,NBA,1,13,3.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0
723,johnsjo02,Johnson,Joe,2006,East,NBA,1,18,12.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,9.0,5.0,0.0,0.0,5.0,2.0
742,johnsma01,Johnson,Magic,1981,West,NBA,1,23,16.0,3.0,1.0,4.0,7.0,5.0,0.0,1.0,5.0,9.0,5.0,7.0,6.0,0.0,0.0
753,johnsst03,Johnson,Stew,1972,West,ABA,1,11,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0
754,johnsst03,Johnson,Stew,1973,West,ABA,1,22,8.0,2.0,2.0,4.0,0.0,0.0,0.0,1.0,2.0,9.0,3.0,2.0,2.0,2.0,0.0
